Sample in Buffer,Sample in Window,TRIGGER,BicubicDDRTest_i/system_ila_0/inst/probe0_1,BicubicDDRTest_i/system_ila_0/inst/probe1_1,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tvalid,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tready,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tlast,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tvalid,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tready,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tlast,Interface_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],Interface_(i1:s1)_(BicubicResizer_0_m_axis)[2:0],T_Channel_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s1)_(BicubicResizer_0_m_axis)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
64,64,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
65,65,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
66,66,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
67,67,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
68,68,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
69,69,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
70,70,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
71,71,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
72,72,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
73,73,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
74,74,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
75,75,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
76,76,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
77,77,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
78,78,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
79,79,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
80,80,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
81,81,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
82,82,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
83,83,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
84,84,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
85,85,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
86,86,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
87,87,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
88,88,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
89,89,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
90,90,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
91,91,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
92,92,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
93,93,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
94,94,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
95,95,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
96,96,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
97,97,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
98,98,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
99,99,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
100,100,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
101,101,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
102,102,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
103,103,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
104,104,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
105,105,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
106,106,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
107,107,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
108,108,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
109,109,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
110,110,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
111,111,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
112,112,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
113,113,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
114,114,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
115,115,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
116,116,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
117,117,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
118,118,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
119,119,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
120,120,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
121,121,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
122,122,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
123,123,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
124,124,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
125,125,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
126,126,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
127,127,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
128,128,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
129,129,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
130,130,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
131,131,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
132,132,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
