Sample in Buffer,Sample in Window,TRIGGER,BicubicDDRTest_i/system_ila_0/inst/probe0_1,BicubicDDRTest_i/system_ila_0/inst/probe1_1,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tvalid,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tready,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tlast,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tdata[127:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tvalid,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tready,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tlast,Interface_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],Interface_(i1:s1)_(BicubicResizer_0_m_axis)[2:0],T_Channel_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s1)_(BicubicResizer_0_m_axis)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,00000000,0000,0,1,0,00000000000000000000000000000000,0,1,0,"_","Inactive","_","No Streams"
1,1,0,0,0,00000000,0000,0,1,0,00000000000000000000000000000000,0,1,0,"_","Inactive","_","No Streams"
2,2,0,0,0,00000000,0000,0,1,0,00000000000000000000000000000000,0,1,0,"_","Inactive","_","No Streams"
3,3,0,0,0,00000000,0000,0,1,0,00000000000000000000000000000000,0,1,0,"_","Inactive","_","No Streams"
4,4,0,0,0,00000000,0000,0,1,0,00000000000000000000000000000000,0,1,0,"_","Inactive","_","No Streams"
5,5,0,0,0,00000000,0000,0,1,0,00000000000000000000000000000000,0,1,0,"_","Inactive","_","No Streams"
6,6,0,0,0,00000000,0000,0,1,0,00000000000000000000000000000000,0,1,0,"_","Inactive","_","No Streams"
7,7,0,0,0,00000000,0000,0,1,0,00000000000000000000000000000000,0,1,0,"_","Inactive","_","No Streams"
8,8,0,0,0,00000000,0000,0,1,0,00000000000000000000000000000000,0,1,0,"_","Inactive","_","No Streams"
