43.898884 122.707611 133.841980
54.890308 118.310005 135.802460
74.879608 114.642616 138.059296
83.306282 110.245010 140.019775
95.138031 108.334480 141.990921
97.914833 106.720390 143.083618
101.236595 106.281174 143.155045
101.544907 105.111748 142.930115
102.848526 105.841957 143.226471
105.370804 104.381546 142.633743
107.431427 104.672531 143.001541
106.478607 104.233322 143.072968
110.094093 105.111748 142.930115
112.365120 103.794106 143.144394
109.141273 104.672539 143.001541
109.141273 104.672539 143.001541
109.434990 105.990181 142.787262
107.627243 105.550964 142.858688
105.258308 106.429398 142.715836
103.899254 106.720383 143.083618
103.899254 106.720383 143.083618
102.595642 105.990181 142.787262
98.867653 107.159599 143.012192
98.012733 107.159607 143.012192
99.161377 108.477249 142.797913
99.161377 108.477249 142.797913
97.706055 108.323570 144.483353
97.706055 108.323570 144.483353
91.720001 108.329025 143.237137
91.971245 108.186256 142.430130
89.406487 108.186249 142.430130
87.947899 108.043488 141.623123
85.578957 108.921913 141.480286
83.306282 110.245010 140.019775
82.704247 110.096786 140.459000
81.849335 110.096786 140.458984
82.704247 110.096786 140.459000
78.429657 110.096786 140.459000
76.564850 110.684227 139.948349
75.654495 111.705429 140.612503
75.654495 111.705429 140.612503
74.546692 111.853645 140.173294
73.691772 111.853653 140.173294
70.174194 111.414429 140.244720
68.660172 112.292862 140.101868
68.911423 112.150093 139.294861
69.962151 113.028526 139.152008
68.911423 112.150093 139.294861
66.699097 112.435631 140.908875
69.963791 113.023071 140.398224
69.963791 113.023071 140.398224
71.322830 112.732079 140.030441
73.383453 113.023071 140.398224
75.654495 111.705429 140.612503
75.150360 111.996414 140.980301
75.150360 111.996414 140.980301
71.983582 111.848190 141.419510
77.715118 111.996414 140.980286
76.861839 111.990967 142.226517
75.656128 111.699966 141.858734
76.861839 111.990967 142.226517
76.861839 111.990967 142.226517
77.914207 112.863937 143.329880
77.662956 113.006706 144.136887
77.662956 113.006706 144.136887
76.808044 113.006714 144.136887
79.023643 112.710266 145.015320
77.411713 113.149483 144.943878
76.556793 113.149475 144.943893
76.556793 113.149475 144.943893
74.244919 113.001259 145.383102
73.389999 113.001259 145.383102
71.076492 112.858490 144.576096
71.327744 112.715721 143.769104
74.494530 112.863937 143.329880
74.494530 112.863937 143.329880
72.238098 111.694519 143.104950
71.944374 110.376877 143.319229
74.607033 110.816086 143.247787
74.605400 110.821541 142.001572
74.607033 110.816086 143.247787
75.770271 109.646667 143.022858
76.626823 109.641212 144.269073
76.626823 109.641212 144.269073
77.328400 110.223198 145.004654
80.243950 110.514191 145.372437
82.459549 110.217743 146.250870
81.604630 110.217743 146.250870
81.859146 110.064072 147.936310
86.135376 110.058617 149.182526
87.791412 111.074364 151.092896
91.814758 111.217133 151.899902
97.241257 112.523872 154.178070
99.752220 113.539619 156.088425
104.224258 114.412598 157.191803
108.343864 115.000031 156.681152
110.895660 117.481644 157.938034
116.220978 118.360077 157.795197
116.418434 119.233047 158.898560
120.538048 119.820488 158.387909
122.698212 120.545242 159.930496
122.389893 121.714661 160.155426
127.015282 122.005661 160.523224
127.015282 122.005661 160.523224
126.568214 121.270004 161.473083
126.568214 121.270004 161.473083
125.713295 121.269997 161.473083
124.354248 121.560989 161.840866
125.713295 121.269997 161.473083
125.515846 120.397018 160.369720
125.824165 119.227600 160.144775
120.247597 118.491943 161.094635
116.379227 117.761734 160.798264
112.217148 115.713882 160.716187
107.240974 115.131897 159.980606
101.760681 114.840904 159.612808
98.592255 114.698135 158.805801
96.937859 113.676933 158.141647
94.932663 112.364746 157.109711
92.421707 111.348999 155.199341
86.686890 111.211678 153.146118
82.968590 109.910393 149.621735
81.004234 110.064072 147.936310
78.941971 109.778534 146.322296
80.945526 111.096176 146.108017
81.449654 110.805183 145.740234
78.632019 110.953407 145.301010
81.449654 110.805183 145.740234
82.906609 110.953407 145.301010
82.906609 110.953407 145.301010
85.122200 110.656967 146.179443
86.075035 111.096176 146.108017
87.576103 112.699364 147.507751
84.913437 112.260147 147.579178
90.646614 112.402916 148.386185
91.809845 111.233490 148.161240
88.740967 111.524483 148.529037
91.809845 111.233490 148.161240
91.809845 111.233490 148.161240
91.809845 111.233490 148.161240
91.809845 111.233490 148.161240
90.100014 111.233490 148.161240
91.811485 111.228035 149.407471
92.974716 110.058609 149.182526
90.507874 110.497833 149.111099
92.119804 110.058617 149.182526
92.974716 110.058609 149.182526
