# ix iy w00 w01 w02 w03 w10 w11 w12 w13 w20 w21 w22 w23 w30 w31 w32 w33
0 0 0.000000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000 1.000000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000 0.000000000000
4 0 -0.000000000000 0.000000000000 0.000000000000 -0.000000000000 -0.070312500000 0.867187500000 0.226562500000 -0.023437500000 -0.000000000000 0.000000000000 0.000000000000 -0.000000000000 -0.000000000000 0.000000000000 0.000000000000 -0.000000000000
8 0 -0.000000000000 0.000000000000 0.000000000000 -0.000000000000 -0.062500000000 0.562500000000 0.562500000000 -0.062500000000 -0.000000000000 0.000000000000 0.000000000000 -0.000000000000 -0.000000000000 0.000000000000 0.000000000000 -0.000000000000
12 0 -0.000000000000 0.000000000000 0.000000000000 -0.000000000000 -0.023437500000 0.226562500000 0.867187500000 -0.070312500000 -0.000000000000 0.000000000000 0.000000000000 -0.000000000000 -0.000000000000 0.000000000000 0.000000000000 -0.000000000000
0 4 -0.000000000000 -0.070312500000 -0.000000000000 -0.000000000000 0.000000000000 0.867187500000 0.000000000000 0.000000000000 0.000000000000 0.226562500000 0.000000000000 0.000000000000 -0.000000000000 -0.023437500000 -0.000000000000 -0.000000000000
4 4 0.004943847656 -0.060974121094 -0.015930175781 0.001647949219 -0.060974121094 0.752014160156 0.196472167969 -0.020324707031 -0.015930175781 0.196472167969 0.051330566406 -0.005310058594 0.001647949219 -0.020324707031 -0.005310058594 0.000549316406
8 4 0.004394531250 -0.039550781250 -0.039550781250 0.004394531250 -0.054199218750 0.487792968750 0.487792968750 -0.054199218750 -0.014160156250 0.127441406250 0.127441406250 -0.014160156250 0.001464843750 -0.013183593750 -0.013183593750 0.001464843750
12 4 0.001647949219 -0.015930175781 -0.060974121094 0.004943847656 -0.020324707031 0.196472167969 0.752014160156 -0.060974121094 -0.005310058594 0.051330566406 0.196472167969 -0.015930175781 0.000549316406 -0.005310058594 -0.020324707031 0.001647949219
0 8 -0.000000000000 -0.062500000000 -0.000000000000 -0.000000000000 0.000000000000 0.562500000000 0.000000000000 0.000000000000 0.000000000000 0.562500000000 0.000000000000 0.000000000000 -0.000000000000 -0.062500000000 -0.000000000000 -0.000000000000
4 8 0.004394531250 -0.054199218750 -0.014160156250 0.001464843750 -0.039550781250 0.487792968750 0.127441406250 -0.013183593750 -0.039550781250 0.487792968750 0.127441406250 -0.013183593750 0.004394531250 -0.054199218750 -0.014160156250 0.001464843750
8 8 0.003906250000 -0.035156250000 -0.035156250000 0.003906250000 -0.035156250000 0.316406250000 0.316406250000 -0.035156250000 -0.035156250000 0.316406250000 0.316406250000 -0.035156250000 0.003906250000 -0.035156250000 -0.035156250000 0.003906250000
12 8 0.001464843750 -0.014160156250 -0.054199218750 0.004394531250 -0.013183593750 0.127441406250 0.487792968750 -0.039550781250 -0.013183593750 0.127441406250 0.487792968750 -0.039550781250 0.001464843750 -0.014160156250 -0.054199218750 0.004394531250
0 12 -0.000000000000 -0.023437500000 -0.000000000000 -0.000000000000 0.000000000000 0.226562500000 0.000000000000 0.000000000000 0.000000000000 0.867187500000 0.000000000000 0.000000000000 -0.000000000000 -0.070312500000 -0.000000000000 -0.000000000000
4 12 0.001647949219 -0.020324707031 -0.005310058594 0.000549316406 -0.015930175781 0.196472167969 0.051330566406 -0.005310058594 -0.060974121094 0.752014160156 0.196472167969 -0.020324707031 0.004943847656 -0.060974121094 -0.015930175781 0.001647949219
8 12 0.001464843750 -0.013183593750 -0.013183593750 0.001464843750 -0.014160156250 0.127441406250 0.127441406250 -0.014160156250 -0.054199218750 0.487792968750 0.487792968750 -0.054199218750 0.004394531250 -0.039550781250 -0.039550781250 0.004394531250
12 12 0.000549316406 -0.005310058594 -0.020324707031 0.001647949219 -0.005310058594 0.051330566406 0.196472167969 -0.015930175781 -0.020324707031 0.196472167969 0.752014160156 -0.060974121094 0.001647949219 -0.015930175781 -0.060974121094 0.004943847656
